Laurence Pithie,New Zealand,2330.76
Ryan Mullen,Ireland,2277.16
Kévin Vauquelin,France,2285.93
Daan Hoole,Netherlands,2287.68
Wout van Aert,Belgium,2197.79
Tobias Foss,Norway,2277.28
Felix Großschartner,Austria,2298.36
Brandon McNulty,USA,2236.60
Jambaljamts Sainbayar,Mongolia,2420.93
Magnus Sheffield,USA,2286.24
Biniam Girmay,Eritrea,2421.65
Remco Evenepoel,Belgium,2172.16
Oier Lazkano,Spain,2349.86
Mathias Vacek,Czech Republic,2275.62
Maximilian Schachmann,Germany,2270.71
Alberto Bettiol,Italy,2287.77
Filippo Ganna,Italy,2187.08
Attila Valter,Hungary,2326.68
Nelson Oliveira,Portugal,2263.15
Derek Gee,Canada,2309.17
Stefan Küng,Switzerland,2267.67
Mikkel Bjerg,Denmark,2275.32
Amir Ansari,Refugee Olympic Team,2426.14
Joshua Tarling,Great Britain,2199.95
Jan Tratnik,Slovenia,2379.12
Stefan Bissegger,Switzerland,2258.57
Rui Costa,Portugal,2341.07
Yevgeniy Fedorov,Kazakhstan,2314.98
Mattias Skjelmose,Denmark,2277.69
Michał Kwiatkowski,Poland,2330.60
